sample_id,total_loss,cover_loss,secret_loss,psnr_c,ssim_c,psnr_s,ssim_s,ber,text_acc
762,0.0057042,0.0052041514,0.00050004845,22.8365,0.9557902,33.009876,0.99051875,0.312835693359375,0.0
763,0.0076555065,0.0072581405,0.00039736606,21.391745,0.96018386,34.00809,0.9758118,0.2994181315104167,0.0
764,0.0018819332,0.0009222134,0.00095971976,30.351685,0.9900148,30.178555,0.9881056,0.340667724609375,0.0
765,0.0016369097,0.0012690778,0.00036783193,28.965117,0.9233983,34.343502,0.98673105,0.2933858235677083,0.0
766,0.0020239698,0.001593305,0.00043066466,27.97701,0.9292672,33.658607,0.98680955,0.29901123046875,0.0
767,0.0020899137,0.0017098332,0.00038008054,27.670462,0.9492158,34.20124,0.9768532,0.2907918294270833,0.0
768,0.008571323,0.0080700265,0.0005012965,20.93125,0.945312,32.99905,0.96433544,0.3095906575520833,0.0
769,0.0011328324,0.000520466,0.0006123664,32.836075,0.9828572,32.129883,0.96313906,0.3201497395833333,0.0
770,0.0010211733,0.0006837371,0.00033743624,31.651108,0.9915776,34.718082,0.98325115,0.3011067708333333,0.0
771,0.0058983928,0.0050977995,0.0008005932,22.926172,0.94335604,30.96588,0.9814566,0.3241068522135417,0.0
772,0.0056795985,0.0053598974,0.00031970118,22.708433,0.91125727,34.952557,0.9670961,0.2873636881510417,0.0
773,0.0058481414,0.0051765917,0.0006715496,22.85956,0.95881796,31.729218,0.95380706,0.3012288411458333,0.0
774,0.003414131,0.0024787723,0.0009353587,26.057632,0.9519861,30.290218,0.97390336,0.3248291015625,0.0
775,0.0077152667,0.007298141,0.00041712594,21.367876,0.9125126,33.797325,0.96859455,0.2921142578125,0.0
776,0.00094480865,0.0004102136,0.00053459505,33.869896,0.95512396,32.71975,0.9805105,0.31829833984375,0.0
777,0.0018080672,0.0013705865,0.00043748072,28.630934,0.96773547,33.59041,0.9836695,0.2921956380208333,0.0
778,0.001502621,0.0011576411,0.00034497993,29.36426,0.9834469,34.62206,0.96808416,0.3000895182291667,0.0
779,0.001584246,0.0013007824,0.00028346363,28.857952,0.9756732,35.475025,0.97117114,0.2711893717447917,0.0
780,0.0009720095,0.0005041216,0.0004678879,32.974644,0.98603994,33.29858,0.97839206,0.3086954752604167,0.0
781,0.0016960044,0.0012376036,0.00045840084,29.074184,0.937345,33.387543,0.97764033,0.3160400390625,0.0
782,0.0024399203,0.0019835122,0.00045640813,27.02565,0.9685562,33.406464,0.9608888,0.303131103515625,0.0
783,0.011764032,0.011270012,0.00049402023,19.480753,0.92921084,33.06255,0.98819655,0.2979838053385417,0.0
784,0.0024255465,0.0018095013,0.00061604514,27.42441,0.9558448,32.103874,0.89796495,0.2977294921875,0.0
785,0.001313181,0.0007345497,0.0005786313,31.339787,0.9719317,32.37598,0.9808809,0.3280232747395833,0.0
786,0.003498112,0.003065809,0.00043230326,25.134546,0.97168666,33.642113,0.99028033,0.3110555013020833,0.0
787,0.007747735,0.0012602834,0.0064874515,28.995317,0.9556115,21.87926,0.7747386,0.37200927734375,0.0
788,0.0025812178,0.0016618763,0.0009193416,27.794012,0.9439122,30.365229,0.9448194,0.3300069173177083,0.0
789,0.0021382929,0.001532971,0.00060532184,28.144659,0.93405265,32.180138,0.9898947,0.3130900065104167,0.0
790,0.0007375886,0.00032775363,0.000409835,34.844524,0.96327716,33.87391,0.97520906,0.3079732259114583,0.0
791,0.0029422177,0.0026893276,0.00025289017,25.703562,0.9705534,35.97068,0.96430033,0.2719523111979167,0.0
792,0.0053419927,0.0043641226,0.0009778698,23.601028,0.9803013,30.097187,0.84007114,0.302215576171875,0.0
793,0.0028364982,0.0025425344,0.00029396385,25.947329,0.9163373,35.31706,0.97085994,0.285247802734375,0.0
794,0.0010765372,0.0008029489,0.0002735883,30.953121,0.96545196,35.629025,0.9748931,0.2822672526041667,0.0
795,0.00700645,0.006325933,0.00068051694,21.988752,0.96468157,31.67161,0.85964376,0.3025105794270833,0.0
796,0.008512501,0.007985706,0.00052679423,20.976866,0.9050519,32.78359,0.9255057,0.34423828125,0.0
797,0.0043196417,0.0038450593,0.00047458248,24.15097,0.93443346,33.23688,0.97074753,0.30023193359375,0.0
798,0.0012142956,0.000675062,0.00053923356,31.706562,0.9587912,32.68223,0.9880516,0.313751220703125,0.0
799,0.003324281,0.002819826,0.0005044552,25.497774,0.9388225,32.97177,0.9641032,0.3090108235677083,0.0
800,0.001024006,0.00076181686,0.0002621892,31.181492,0.9366984,35.813854,0.9799029,0.2943827311197917,0.0
801,0.0010877706,0.00048242966,0.0006053409,33.165657,0.96671253,32.18,0.9758981,0.3147684733072917,0.0
802,0.0040269666,0.0035567777,0.0004701889,24.489431,0.9067116,33.277275,0.9475338,0.2983907063802083,0.0
803,0.0009501311,0.0005600009,0.00039013018,32.518112,0.94467133,34.087902,0.97487974,0.2944844563802083,0.0
804,0.0019920697,0.0012953533,0.0006967164,28.876118,0.97220415,31.569439,0.9822314,0.3299662272135417,0.0
805,0.009749742,0.008903525,0.00084621744,20.50438,0.94936514,30.72518,0.97373515,0.3189798990885417,0.0
806,0.0014249731,0.00068509893,0.00073987426,31.642466,0.9642604,31.308418,0.97050065,0.3173319498697917,0.0
807,0.0010607633,0.00086046715,0.00020029611,30.652657,0.9843006,36.983273,0.9822009,0.2690938313802083,0.0
808,0.0038935812,0.0034146854,0.00047889585,24.666492,0.94817644,33.197586,0.98322695,0.3049519856770833,0.0
809,0.0024988977,0.0020252392,0.00047365847,26.935236,0.97876126,33.245346,0.9798836,0.3108927408854167,0.0
810,0.0020292904,0.0012219318,0.00080735865,29.129528,0.975836,30.929335,0.84950703,0.2597859700520833,0.0
811,0.0020188815,0.0014540773,0.0005648042,28.374125,0.9735314,32.481018,0.9233026,0.28387451171875,0.0
812,0.002909709,0.0025049215,0.0004047875,26.012056,0.9494462,33.927727,0.986931,0.301055908203125,0.0
813,0.0022249026,0.0019664639,0.00025843873,27.063139,0.9780486,35.876423,0.9703696,0.2801005045572917,0.0
814,0.003553947,0.003258725,0.00029522204,24.869522,0.9450728,35.29851,0.97619295,0.278289794921875,0.0
815,0.0019543217,0.0013776412,0.00057668047,28.608637,0.96837735,32.390648,0.9822793,0.3281453450520833,0.0
816,0.00534608,0.0046257596,0.0007203203,23.34817,0.91649103,31.424742,0.9654698,0.3158162434895833,0.0
817,0.008077919,0.0077918884,0.0002860303,21.083572,0.9322451,35.435875,0.9349518,0.2905782063802083,0.0
818,0.0015607915,0.0008985745,0.00066221703,30.464457,0.96826553,31.789995,0.9887139,0.3303019205729167,0.0
819,0.0031045869,0.0026930692,0.00041151769,25.697523,0.8834071,33.856113,0.95497274,0.2992045084635417,0.0
820,0.018120265,0.017420359,0.0006999048,17.589428,0.86911124,31.54961,0.9604439,0.2970174153645833,0.0
821,0.003146406,0.0020271684,0.0011192376,26.931099,0.73351985,29.510775,0.91640383,0.3400675455729167,0.0
822,0.0011529266,0.00070447667,0.00044844998,31.521332,0.9905645,33.482857,0.99043137,0.3123881022135417,0.0
823,0.004754036,0.001958592,0.002795444,27.080559,0.9135502,25.535492,0.7527941,0.3653767903645833,0.0
824,0.009394823,0.008680359,0.00071446295,20.614622,0.92385846,31.460201,0.96083623,0.3176778157552083,0.0
